,party_rk,gender_cd,age,marital_status_desc,children_cnt,region_flg,product1,product2,product3,product4,product5,product6,product7,income,outcome,label
0,61243,0.0,70.0,6.0,0,0,0,0,0,1,1,1,0,51428.57142857143,-172500.0,3
1,66535,0.0,25.0,6.0,0,0,0,1,0,0,0,0,0,8750.0,-15000.0,0
2,83721,1.0,55.0,1.0,0,0,1,0,1,1,1,0,0,0.0,-20000.0,0
3,88238,0.0,35.0,6.0,0,0,0,0,0,1,1,0,0,12500.0,0.0,0
4,57179,0.0,30.0,1.0,0,0,1,1,0,0,1,0,0,0.0,-20000.0,0
5,66793,1.0,40.0,1.0,0,0,0,1,0,0,1,0,0,5000.0,-6666.666666666667,0
6,93895,0.0,40.0,6.0,0,0,0,1,0,0,0,0,0,0.0,-35000.0,0
7,24352,1.0,35.0,1.0,1,0,0,1,1,1,1,0,0,87500.0,-31250.0,3
8,812,1.0,75.0,6.0,4,1,0,0,0,1,1,0,0,191666.66666666666,-282500.0,2
9,82426,0.0,50.0,2.0,0,1,1,1,0,1,0,0,1,0.0,-12500.0,0
10,85512,1.0,25.0,0.0,0,0,0,1,0,0,1,0,0,0.0,0.0,0
11,94343,0.0,30.0,0.0,0,0,0,1,0,0,1,0,0,10000.0,-10000.0,0
12,64918,1.0,25.0,0.0,0,0,0,0,0,1,1,0,0,5000.0,-5000.0,0
13,89849,1.0,35.0,1.0,0,0,0,0,0,1,1,0,0,5000.0,-10000.0,0
14,12883,1.0,45.0,1.0,0,1,0,1,0,1,1,0,1,48125.0,-23000.0,3
15,23830,1.0,45.0,0.0,1,0,0,1,0,1,0,0,0,18333.333333333332,-15000.0,0
16,31163,0.0,45.0,1.0,0,0,0,1,0,1,1,0,0,5000.0,-33333.333333333336,0
17,66837,0.0,25.0,6.0,0,0,0,1,1,1,1,0,0,5000.0,-5000.0,0
18,4486,1.0,40.0,1.0,2,0,0,0,0,1,0,0,1,60000.0,-103333.33333333333,3
19,17640,1.0,25.0,0.0,0,0,0,1,0,1,1,0,1,5000.0,-10833.333333333334,0
20,67245,1.0,40.0,3.0,0,0,0,1,0,0,1,0,1,0.0,-20000.0,0
21,86137,1.0,20.0,6.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0
22,6449,1.0,35.0,3.0,0,1,1,1,1,1,0,0,0,39285.71428571428,-24375.0,0
23,30456,0.0,60.0,6.0,0,0,0,0,0,1,0,0,0,16250.0,-9166.666666666666,0
24,43510,1.0,25.0,0.0,0,0,0,1,0,1,0,0,1,26428.571428571428,-25833.333333333332,0
25,88840,1.0,40.0,6.0,0,0,0,0,0,1,1,0,0,0.0,-25000.0,0
26,39302,0.0,45.0,3.0,0,0,0,1,0,0,1,0,0,36666.666666666664,-5000.0,0
27,10965,0.0,45.0,1.0,1,0,0,1,0,1,1,1,0,6666.666666666667,-20000.0,0
28,84514,0.0,40.0,6.0,0,0,0,1,0,0,0,0,0,0.0,-5000.0,0
29,20137,1.0,40.0,1.0,1,0,1,1,0,0,1,0,1,20000.0,-13750.0,0
30,82271,0.0,25.0,0.0,0,0,0,1,0,0,1,0,0,20000.0,-5000.0,0
31,9653,0.0,45.0,1.0,3,1,0,1,0,0,1,0,1,5000.0,-8750.0,0
32,29454,0.0,50.0,5.0,1,0,0,1,0,0,0,0,0,0.0,0.0,0
33,17261,0.0,25.0,0.0,0,0,0,1,0,0,0,0,0,40000.0,-20000.0,0
34,66305,0.0,30.0,3.0,0,0,0,0,0,1,1,0,0,0.0,-8333.333333333334,0
35,83296,1.0,35.0,1.0,1,0,1,0,0,1,0,0,0,5000.0,-105000.0,3
36,84733,1.0,30.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0
37,47055,0.0,25.0,1.0,0,0,0,1,0,0,0,0,0,5000.0,-5000.0,0
38,58469,0.0,30.0,6.0,0,0,0,0,0,1,1,0,0,23000.0,-16000.0,0
39,66960,0.0,45.0,6.0,0,0,0,1,0,1,1,0,0,0.0,0.0,0
40,71861,1.0,30.0,1.0,0,0,1,0,0,1,0,0,0,0.0,0.0,0
41,62992,1.0,35.0,1.0,0,0,0,1,0,0,1,0,0,0.0,-5000.0,0
42,86675,0.0,40.0,1.0,2,0,0,0,0,1,0,0,0,5000.0,-25000.0,0
43,5885,1.0,35.0,0.0,0,0,0,0,0,1,1,0,0,20000.0,-9000.0,0
44,13671,0.0,40.0,1.0,1,0,0,1,0,0,0,0,0,8750.0,-6000.0,0
45,23141,0.0,65.0,1.0,0,0,0,1,0,0,0,0,0,0.0,-7000.0,0
46,59316,1.0,40.0,6.0,0,0,0,0,0,1,1,0,0,0.0,-83750.0,0
47,85072,1.0,25.0,6.0,0,0,1,1,0,0,1,0,0,62500.0,-115000.0,3
48,1687,0.0,50.0,1.0,2,0,0,0,0,1,1,0,1,8333.333333333334,-8000.0,0
49,7994,1.0,40.0,1.0,1,0,0,1,0,1,0,0,0,33888.88888888889,-31666.666666666668,0
50,16543,0.0,40.0,1.0,0,0,0,1,0,1,0,0,0,30000.0,-15000.0,0
51,52445,0.0,35.0,6.0,0,0,0,0,0,1,1,0,0,16666.666666666668,-18333.333333333332,0
52,27098,0.0,50.0,1.0,0,0,0,0,0,1,1,1,1,10000.0,-10000.0,0
53,61708,1.0,20.0,0.0,0,0,0,0,0,1,1,0,0,5000.0,0.0,0
54,63597,1.0,50.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0
55,37350,1.0,40.0,1.0,1,1,0,1,0,1,1,0,1,8000.0,-60000.0,0
56,42620,1.0,35.0,6.0,0,0,0,0,0,1,0,0,0,12142.857142857143,-17000.0,0
57,57382,1.0,15.0,6.0,0,0,0,0,0,1,0,0,0,5000.0,-5000.0,0
58,60752,1.0,20.0,0.0,0,0,1,1,0,1,0,0,1,73750.0,-12857.142857142857,3
59,72784,0.0,30.0,1.0,0,0,0,1,0,0,0,0,0,12500.0,-6250.0,0
60,18940,0.0,40.0,6.0,4,0,0,0,0,1,1,0,0,21250.0,-21250.0,0
61,59327,0.0,65.0,2.0,0,0,0,1,0,0,0,0,0,16000.0,-17000.0,0
62,73166,0.0,40.0,5.0,0,0,0,1,0,0,1,0,0,5000.0,-17000.0,0
63,15463,0.0,45.0,1.0,2,0,0,1,0,0,1,0,0,0.0,-5000.0,0
64,67901,1.0,35.0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0
65,25198,1.0,40.0,1.0,2,0,0,1,0,0,1,0,0,75000.0,-31428.571428571428,3
66,60895,0.0,30.0,0.0,0,1,0,0,0,1,1,0,0,5000.0,-40000.0,0
67,80763,0.0,40.0,1.0,0,1,1,0,1,1,0,0,0,62500.0,-20000.0,3
68,1651,0.0,65.0,5.0,2,0,0,1,0,0,0,0,0,6250.0,0.0,0
69,57045,1.0,40.0,0.0,0,0,0,1,0,1,1,0,0,13333.333333333334,-5000.0,0
70,62809,0.0,45.0,6.0,0,0,1,0,0,1,1,0,0,0.0,0.0,0
71,23351,1.0,35.0,1.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0
72,83533,0.0,25.0,0.0,0,0,0,1,0,0,1,0,0,55000.0,-7500.0,3
73,88142,0.0,20.0,6.0,0,0,1,0,0,1,1,0,0,0.0,0.0,0
74,5612,0.0,45.0,1.0,1,0,0,1,0,0,1,0,1,0.0,0.0,0
75,48180,1.0,25.0,0.0,0,0,0,0,0,1,1,0,0,5000.0,0.0,0
76,63809,1.0,30.0,6.0,0,0,0,1,0,0,0,0,0,46000.0,-29285.714285714286,3
77,68517,1.0,35.0,6.0,0,0,0,0,0,1,0,1,0,25000.0,-25000.0,0
78,72444,1.0,45.0,0.0,0,0,0,1,0,1,0,0,1,5000.0,-6666.666666666667,0
79,27578,1.0,40.0,6.0,0,0,1,1,0,1,1,0,0,0.0,0.0,0
80,66597,0.0,20.0,1.0,0,0,0,1,0,0,0,0,0,5000.0,-5000.0,0
81,10501,0.0,35.0,0.0,0,0,0,0,0,1,1,0,0,76000.0,-77500.0,3
82,30543,1.0,60.0,0.0,0,0,0,0,0,1,1,0,0,26000.0,-25000.0,0
83,67328,0.0,25.0,0.0,0,0,0,0,0,1,0,0,0,0.0,-6666.666666666667,0
84,87555,1.0,25.0,0.0,0,0,0,1,0,0,0,0,0,5000.0,0.0,0
85,6391,1.0,35.0,1.0,1,0,0,0,0,1,0,0,0,20000.0,-6250.0,0
86,71044,1.0,20.0,6.0,0,0,0,0,0,1,1,1,0,0.0,0.0,0
87,37235,0.0,35.0,1.0,0,0,0,1,0,0,1,0,1,10000.0,-10000.0,0
88,2901,0.0,75.0,2.0,0,0,0,1,0,0,0,0,0,5000.0,-10000.0,0
89,5194,1.0,50.0,1.0,1,0,1,1,0,1,0,0,0,5000.0,-5000.0,0
90,18568,1.0,35.0,6.0,0,0,0,0,1,1,1,0,0,35000.0,-10000.0,0
91,67010,1.0,20.0,6.0,0,1,0,0,0,1,1,0,0,5000.0,-5000.0,0
92,33146,0.0,35.0,0.0,0,1,0,0,0,1,1,0,0,50000.0,-52500.0,3
93,49329,1.0,40.0,0.0,0,0,0,0,1,1,1,0,1,27500.0,-20000.0,0
94,53848,1.0,35.0,6.0,0,0,0,0,0,1,0,1,0,33333.333333333336,-21666.666666666668,0
95,86269,1.0,40.0,6.0,0,0,0,0,0,1,0,0,0,5000.0,0.0,0
96,92243,1.0,40.0,0.0,0,0,1,0,1,1,0,0,0,0.0,0.0,0
97,48434,0.0,55.0,6.0,0,0,0,0,0,1,1,0,0,22500.0,-16000.0,0
98,33955,0.0,35.0,0.0,0,0,0,1,0,1,0,0,0,5000.0,-17500.0,0
99,70964,0.0,25.0,3.0,0,0,0,1,0,0,1,0,0,7500.0,-5000.0,0
100,4580,0.0,35.0,3.0,1,0,0,1,0,1,0,0,1,10000.0,-5000.0,0
101,48566,1.0,45.0,0.0,1,0,0,0,0,1,0,0,0,5000.0,-5000.0,0
102,70922,0.0,50.0,3.0,0,0,0,0,0,1,1,0,0,0.0,0.0,0
103,15479,1.0,30.0,0.0,0,0,0,0,0,1,0,0,0,5000.0,0.0,0
104,50609,1.0,30.0,0.0,0,1,1,1,0,1,0,0,0,5000.0,-5000.0,0
105,74854,0.0,35.0,6.0,0,0,0,0,1,1,0,0,0,45000.0,-28750.0,3
106,81001,0.0,30.0,6.0,0,0,0,0,0,1,1,0,0,12500.0,-10000.0,0
107,80583,0.0,35.0,1.0,0,0,1,1,0,0,1,0,0,70000.0,-20000.0,3
108,26539,0.0,35.0,1.0,0,0,0,1,0,0,1,0,0,5000.0,-5000.0,0
109,30789,1.0,30.0,1.0,0,0,1,1,0,1,1,0,1,90000.0,-47857.142857142855,3
110,42490,1.0,45.0,6.0,0,0,0,1,0,1,0,0,0,6250.0,-6666.666666666667,0
111,47340,0.0,45.0,6.0,4,0,0,0,0,1,1,1,0,15000.0,-9000.0,0
112,70595,0.0,35.0,6.0,0,0,0,0,0,1,0,0,1,92500.0,-77000.0,3
113,6653,1.0,45.0,1.0,3,0,0,1,0,1,0,0,1,155000.0,-12500.0,3
114,70113,1.0,50.0,1.0,0,0,0,0,0,1,1,0,1,0.0,-22000.0,0
115,94112,0.0,40.0,0.0,0,1,0,1,0,0,1,0,0,6250.0,-6000.0,0
116,4442,0.0,45.0,3.0,1,0,0,1,0,0,0,0,0,5000.0,-8333.333333333334,0
117,83484,0.0,40.0,1.0,0,0,0,0,1,1,1,0,0,120000.0,-105000.0,3
118,26546,1.0,40.0,0.0,1,0,0,1,0,0,0,0,0,5833.333333333333,-21666.666666666668,0
119,47588,1.0,30.0,1.0,0,0,0,0,1,1,0,0,0,20000.0,-20000.0,0
120,90228,0.0,25.0,6.0,0,1,0,1,0,0,0,0,1,0.0,0.0,0
121,41648,0.0,50.0,6.0,4,1,0,0,0,1,1,0,0,18333.333333333332,-45000.0,0
122,45953,1.0,30.0,0.0,0,0,0,1,0,0,1,0,1,5000.0,-12500.0,0
123,15037,0.0,40.0,6.0,0,0,0,0,0,1,0,1,0,21666.666666666668,-37500.0,0
124,19186,0.0,30.0,3.0,1,0,0,1,0,1,1,0,0,5000.0,-7000.0,0
125,81235,1.0,25.0,6.0,0,0,1,0,0,1,1,0,0,5000.0,-5000.0,0
126,7992,1.0,35.0,1.0,0,0,0,1,0,0,0,0,0,9166.666666666666,-14000.0,0
127,49427,1.0,55.0,6.0,0,0,0,0,1,1,0,0,0,57500.0,-40833.333333333336,3
128,84761,1.0,30.0,1.0,0,0,0,0,0,1,1,0,0,80000.0,-20000.0,3
129,17033,1.0,30.0,0.0,0,0,0,1,0,0,0,0,0,0.0,-5000.0,0
130,14430,0.0,35.0,1.0,0,0,0,1,0,1,0,0,1,21666.666666666668,-16000.0,0
131,68592,0.0,30.0,0.0,0,0,1,1,0,0,1,0,0,7500.0,-11666.666666666666,0
132,84050,0.0,25.0,1.0,0,0,0,1,0,0,0,0,0,10000.0,-10000.0,0
133,34457,1.0,25.0,0.0,0,0,0,0,0,1,0,0,0,5000.0,-10000.0,0
134,59642,1.0,25.0,0.0,0,0,0,0,1,1,1,0,1,15000.0,-10000.0,0
135,40930,0.0,45.0,1.0,0,0,0,1,0,0,0,0,0,7500.0,-10000.0,0
136,19079,1.0,60.0,1.0,2,0,0,1,0,0,1,0,1,19166.666666666668,-36250.0,0
